Year,Delivering_Country,Receiving_Countries,Diplomacy_category,Comments,Source,Latitude,Longitude,Colour
2020,Australia,Fiji,Defence Cooperation,Fiji and Australia to negotiate new military pact,https://www.wsws.org/en/articles/2020/12/01/fiji-d01.html,,,Broad
2021,United States of America,Papua New Guinea,Military Exercises,Tamiok Strike 2021,https://twitter.com/8thTSC/status/1425993012186796035,-9.350716855,147.2756353,Specific
2022,Australia,Solomon Islands,Visit Diplomacy (Defence),ADV Reliant arrives in Honiara for Inauguration Pacific Tour,https://sbm.sb/adv-reliant-arrives-in-honiara-for-inauguration-pacific-tour/,-9.424221,159.951465,Specific
2022,United States of America,Tonga,Military Exercises,Tongan contingent joining US-led RIMPAC 2022,https://matangitonga.to/2022/05/25/tongan-contingent-joining-us-led-rimpac-2022,,,Broad
2023,China,Fiji,Training,"UN Staff Officer Courses, Beijing",https://twitter.com/ChineseEmb_FJ/status/1696353433853530172,,,Broad
2021,New Zealand,Solomon Islands,MIL-POL Engagement,Support to Solomon Islands 2021,https://www.defence.govt.nz/publications/publication/support-to-solomon-islands-2021,-9.428925562,159.9430365,Specific
2021,Australia,Fiji,Military Exercises,Australian Army and Fiji Military strengthen partnership,https://www.defence.gov.au/news-events/releases/2021-11-24/australian-army-and-fiji-military-strengthen-partnership,-18.11338656,178.457633,Specific
2021,Australia,Papua New Guinea,Defence Infrastructure,Building on partnership with PNG ,https://www.contactairlandandsea.com/2021/08/20/building-on-partnership-with-png/,-2.042237806,147.3704451,Specific
2022,Australia,Vanuatu,Training,7 VMF Engineers Receives their Certificate in Carpentry ,https://police.gov.vu/media-news/news/202-7-vmf-engineers-receives-their-certificate-in-carpentry,-17.72612577,168.3164405,Specific
2023,United States of America,Fiji,Visit Diplomacy (Defence),Chinese military delegation joins US-hosted defence conference in Fiji,https://www.reuters.com/business/aerospace-defense/chinese-military-delegation-joins-us-hosted-defence-conference-fiji-2023-08-16/,-18.10843841,177.3218563,Specific
2023,Australia,Papua New Guinea,Training,A love of sport an asset in the Pacific ,URL Link,-6.73681632,147.0055027,Specific
2023,United States of America,Papua New Guinea,HADR – Disaster Response,"Marines dodged fog, ash and typhoons in volcano response mission",https://taskandpurpose.com/news/marine-expeditionary-unit-bougainville-volcano/,-6.735531517,155.6871557,Specific
2020,Australia,Tonga,Defence Infrastructure,ADF assists HMAF through Australian Defence Cooperation Program ,https://matangitonga.to/2020/06/26/australian-defence-assists-hmaf,-21.13272869,-175.2024628,Specific
2023,United States of America,Vanuatu,HADR – Disaster Response,U.S. Coast Guard concludes post-storm support to Vanuatu after Tropical Cyclone Lola ,https://www.news.uscg.mil/Press-Releases/Article/3588664/us-coast-guard-concludes-post-storm-support-to-vanuatu-after-tropical-cyclone-l/,-17.70096104,168.3201476,Specific
2022,Australia,Fiji,Defence Cooperation,A bright future for Fiji students as Lekutu Secondary School re-opened,https://www.defence.gov.au/news-events/releases/2022-07-21/bright-future-fiji-students-lekutu-secondary-school-re-opened,-16.6868743,178.7061627,Specific
2019,United States of America,Fiji,Training,Officer cadets head for West Point ,https://www.rfmf.mil.fj/officer-cadets-head-for-west-point/,-18.14914176,178.4288041,Specific
2022,Australia,Papua New Guinea,Defence Infrastructure,Papua New Guinea – Essential Services at Goldie River Training Depot and Igam Barracks,https://www.defence.gov.au/defence-activities/programs-initiatives/pacific-engagement/infrastructure/pacific-medium-works-program,-9.347754855,147.2743681,Specific
2022,Australia,Papua New Guinea,Military Exercises,Sapper returns to her Pacific roots,https://www.defence.gov.au/news-events/news/2022-10-07/sapper-returns-her-pacific-roots,-9.351650544,147.2722988,Specific
2023,Australia,Papua New Guinea,Defence Infrastructure,"The ADF renovates a classroom at Lombrum Naval Base, Manus ",https://www.facebook.com/3rdbrigadeaustralianarmy/videos/placing-the-final-touches-on-the-lombrum-naval-base-classroom-thoughtfully-renov/1010689790140760/,-2.044847247,147.3636427,Specific
